ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
334,5,5,5,1,2,2,2,4,3,5,5,2,2,3,2,2
335,6,6,5,3,4,3,5,6,6,6,6,4,5,6,1,3
336,4,4,4,3,3,2,4,2,4,5,6,5,3,5,3,3
337,4,2,4,3,3,1,4,3,3,4,4,2,2,4,2,1
338,4,4,5,5,4,5,6,5,4,5,4,5,3,2,3,1
339,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1
340,2,2,2,4,2,2,4,1,3,3,4,5,2,2,1,1
341,3,3,3,4,3,2,4,4,3,4,4,3,3,3,4,3
342,3,3,4,2,3,3,3,3,2,2,4,3,4,5,3,2
343,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
344,4,5,5,1,4,2,2,2,5,4,4,3,3,3,3,3
345,5,5,5,5,5,1,2,4,3,1,3,3,1,3,1,1
346,4,4,4,4,3,3,3,4,4, ,3,3,4,4,4,4
347,4,4,4,4,3,1,3,1,2,2,4,3,3,3,1,1
348,4,5,3,2,2,3,1,1,1,2,5,5,2,5,1,3
349,4,4,4,4,3,5,3,4,3,3,5,3,3,3,3,3
350,1,3,3,1,5,4,4,5,6,5,5,3,4,5,5,3
351,4,3,4,2,4,3,3,3,4,4,4,3,3,3,3,3
352,4,4,4,3,4,5,5,4,4,4,6,5,4,5,4,2
353,2,2,3,3,4,4,2,2,5,5,5,5,5,5,3,2
354,3,3,4,4,4,3,4,2,4,4,4,4,3,3,3,3
355,4,4,5,4,5,5,4,5,5,5,6,5,5,4,4,3
356,2,3,2,3,2,3,4,4,3,4,4,5,3,4,3,3
357,1,1,4,1,1,1,1,1,1,1,5,4,1,1,1,1
358,4,4,3,3,5,5,2,2,3,5,5,3,2,4,4,3
359,4,4,3,4,5,5,4,4,5,4,4,5,4,4,5,3
360,3,3,4,3,4,3,4,4,4,3,3,4,3,3,3,3
361,4,4,3,3,4,4,4,4,5,4,6,5,5,5,5,3
362,4,4,4,3,4,5,4,5,4,4,4,4,3,5,4,3
363,3,3,3,2,4,4,2,2,4,1,3,4,3,4,3,1
364,2,2,3,3,3,4,4,4,5,5,5,5,4,4,5,1
365,3,3,3,3,2,2,1,3,2,1,3,1,1,1,1,1
366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
367,4,4,3,3,4,3,5,4,4,5,5,4,2,4,2,2
368,3,4,5,5,4,4,5,5,4,5,4,3,4,2,4,3
369,3,4,4,1,1,1,3,3,4,5,5,2,2,4,2,3
370,5,5,5,3,3,2,2,2,2,4,4,3,2,2,2,2
371,4,4,4,4,3,2,2,2,2,4,4,2,2,2,2,2
372,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
373,5,5,5,6,1,1,6,5,5,4,5,4,1,6,2,1
374,3,3,4,3,3,3,4,3,4,4,4,3,3,3,3,3
375,3,3,4,4,3,2,3,2,4,4,4,3,1,3,3,1
376,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3
377,3,3,4,4,3,2,4,3,3,3,4,3,2,2,3,2
378,2,2,3,3,2,2,3,2,2,3,3,2,2,2,2,2
379,3,3,3,4,4,3,4,4,4,4,3,4,3,4,3,3
380,4,3,4,4,4,3,5,4,4,5,4,4,3,4,3,4
381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
382,5,5,4,4,4,3,6,3,3,2,2,2,1,1,1,1
383,4,4,3,5,4,4,3,4,4,4,4,3,4,4,5,4
384,3,2,2,4,2,1,5,4,2,1,2,2,2,5,3,1
385,3,2,2,3,2,2,5,4,3,3,3,3,3,3,4,4
386,2,2,2,4,2,1,3,3,3,2,4,4,2,3,3,1
387,2,2,2,2,5,4,5,4,5,3,4,4,5,6,6,2
388,4,4,5,6,6,5,5,5,4,3,4,5,2,4,3,4
389,4,5,4,1,4,4,4,4,4,4,4,4,3,4,4,5
390,4,3,5,5,4,4,5,4,5,4,5,4,5,5,3,1
391,4,3,4,2,3,3,3,4,3,3,3,3,2,3,3,2
392,4,4,5,5,5,4,5,5,5,4,6,5,5,5,4,3
393,2,3,3,4,4,4,5,3,4,4,3,3,3,5,3,4
394,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
395,3,4,3,5,3,2,4,3,3,2,3,4,3,3,4,3
396,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
397,5,5,5,4,3,3,2,3,5,2,2,5,5,5,2,2
398,1,1,1,1,1,1,1,1,3,4,4,5,3,6,1,1
399,2,2,2,4,2,1,3,3,2,4,3,2,2,3,2,1
400,4,3,2,4,2,4,5,4,5,5,5,5,4,4,5,3
401,4,4,4,2,2,2,4,2,2,4,4,2,2,4,2,2
402,4,4,4,3,2,3,3,3,3,4,5,2,1,1,1,4
403,4,5,5,2,2,2,4,2,2,4,5,2,2,4,2,2
404,4,4,3,5,4,5,5,4,5,4,3,4,5,4,5,5
